               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.058858,            0.038015,            0.072084,             0.88718,             0.07312,            0.093634,            0.042084,            0.048484,            0.027184,            0.071512,            0.008845,            0.008845,            0.008845
                  37,            0.052522,             0.03689,             0.07314,             0.90314,            0.075244,             0.10685,            0.054678,            0.045314,             0.02719,            0.071309,            0.008812,            0.008812,            0.008812
                  38,            0.055885,            0.035136,            0.072171,             0.89255,            0.082397,            0.092547,            0.044186,            0.051475,            0.026871,            0.070976,            0.008779,            0.008779,            0.008779
                  39,            0.054623,            0.033466,             0.07231,              0.8925,            0.086874,             0.10712,            0.044892,            0.043316,            0.026159,            0.070903,            0.008746,            0.008746,            0.008746
                  40,            0.048001,            0.040149,            0.071166,             0.89203,            0.084651,            0.097172,             0.05133,            0.051815,            0.027136,             0.07055,            0.008713,            0.008713,            0.008713
                  41,            0.058452,            0.034124,            0.072254,             0.81402,            0.084331,             0.10735,            0.044057,            0.045678,            0.026492,             0.07046,             0.00868,             0.00868,             0.00868
                  42,            0.052976,            0.037271,            0.071318,             0.84755,            0.086211,            0.089355,            0.035684,            0.047986,            0.026502,            0.070139,            0.008647,            0.008647,            0.008647
                  43,            0.046594,            0.039836,            0.070495,             0.87428,            0.076043,            0.070653,            0.025181,            0.055459,            0.027243,            0.069905,            0.008614,            0.008614,            0.008614
                  44,            0.058793,            0.042598,            0.071153,             0.87009,            0.087137,            0.076257,            0.032263,            0.048016,            0.025528,            0.069487,            0.008581,            0.008581,            0.008581
                  45,             0.05026,            0.040796,            0.072458,             0.61806,             0.12953,             0.11394,            0.047007,            0.043609,            0.026034,            0.069279,            0.008548,            0.008548,            0.008548
                  46,            0.047894,            0.036868,            0.070661,             0.82578,            0.077361,            0.094418,            0.049296,            0.045609,             0.02652,            0.068755,            0.008515,            0.008515,            0.008515
                  47,            0.051868,            0.041738,             0.06917,             0.87409,            0.086878,             0.12302,            0.061624,            0.040187,            0.025488,            0.068591,            0.008482,            0.008482,            0.008482
                  48,            0.043262,            0.034492,            0.071371,             0.83142,            0.082362,             0.11445,            0.049965,            0.052762,            0.025826,            0.068082,            0.008449,            0.008449,            0.008449
                  49,            0.057644,            0.041346,            0.070409,             0.83385,            0.099808,             0.13718,            0.082413,            0.037667,            0.024706,            0.067872,            0.008416,            0.008416,            0.008416
                  50,             0.04849,            0.036729,            0.069792,             0.81657,             0.11369,             0.13038,             0.06329,            0.040601,            0.024461,            0.067679,            0.008383,            0.008383,            0.008383
                  51,            0.044877,            0.037788,            0.068281,             0.80164,            0.083022,            0.071207,            0.032626,            0.054517,            0.024385,            0.067227,             0.00835,             0.00835,             0.00835
                  52,            0.054612,            0.033298,            0.066774,             0.83997,             0.10388,             0.13755,            0.080495,            0.037788,            0.024312,            0.067044,            0.008317,            0.008317,            0.008317
                  53,            0.048595,            0.036158,            0.069429,             0.83082,             0.10004,             0.12448,             0.06612,            0.039777,            0.024596,            0.066777,            0.008284,            0.008284,            0.008284
                  54,               0.049,            0.030404,            0.068913,             0.82738,            0.093483,             0.11623,            0.060846,            0.044653,             0.02545,            0.066482,            0.008251,            0.008251,            0.008251
                  55,            0.050752,            0.038961,            0.067125,             0.83426,            0.098597,              0.1307,               0.064,            0.039472,            0.024743,            0.066196,            0.008218,            0.008218,            0.008218
                  56,            0.041559,            0.034033,            0.067773,             0.86792,            0.093509,             0.13064,            0.054118,            0.047934,             0.02588,            0.065743,            0.008185,            0.008185,            0.008185
                  57,            0.051715,             0.03773,            0.068311,             0.88387,             0.11993,              0.1644,            0.085986,            0.037326,            0.023897,            0.065361,            0.008152,            0.008152,            0.008152
                  58,            0.046018,            0.035425,            0.066878,             0.85718,             0.11062,             0.14747,            0.074297,            0.041158,            0.023643,            0.064946,            0.008119,            0.008119,            0.008119
                  59,            0.042865,             0.03353,            0.065892,             0.87071,             0.10297,             0.14238,             0.07756,            0.045578,            0.024918,            0.064464,            0.008086,            0.008086,            0.008086
                  60,            0.051135,            0.035232,            0.066368,              0.8844,              0.1012,             0.15332,            0.080207,            0.039303,            0.024592,            0.064331,            0.008053,            0.008053,            0.008053
                  61,            0.045217,            0.036475,            0.065495,             0.89949,            0.098604,             0.16265,            0.086636,            0.036877,            0.023961,            0.064111,             0.00802,             0.00802,             0.00802
                  62,            0.046547,             0.03667,            0.067483,             0.89058,            0.099659,             0.15144,            0.084601,            0.042919,            0.024859,            0.063656,            0.007987,            0.007987,            0.007987
                  63,            0.046991,            0.035035,            0.066502,             0.89792,             0.10604,             0.17004,            0.093386,            0.036152,            0.024121,             0.06349,            0.007954,            0.007954,            0.007954
                  64,            0.038805,            0.031955,            0.065273,             0.89179,            0.094215,             0.15038,            0.079022,            0.043753,            0.024391,            0.063046,            0.007921,            0.007921,            0.007921
                  65,             0.05043,            0.034184,            0.063824,             0.87969,             0.10097,             0.15933,            0.097451,            0.037909,            0.023341,            0.062757,            0.007888,            0.007888,            0.007888
                  66,            0.045586,            0.040883,            0.063711,             0.88995,            0.098579,             0.15812,            0.091659,            0.035662,            0.023382,            0.062553,            0.007855,            0.007855,            0.007855
                  67,            0.043248,            0.034114,            0.064638,             0.80358,             0.10239,             0.12362,            0.046789,            0.047865,            0.024981,            0.062063,            0.007822,            0.007822,            0.007822
